title,ML_precision,ML_recall,ML_f1_score,opencv_basic_method_precision,opencv_basic_method_recall,opencv_basic_method_f1_score,opencv_advanced_method_precision,opencv_advanced_method_recall,opencv_advanced_method_f1_score
MIDAM_KIDPADDLE7_015,0.9659353916627021,0.976733281867075,0.971304327933621,0.607530646014611,0.18258297919270144,0.28078178064859827,0.39414143510245697,0.8327357879716453,0.5350424188492668
MONTAIGNE_TUMOURRASMOINSBETE_T01_030,0.09031671323295018,0.328502250716137,0.1416805165389537,0.037853146370104306,0.03737552857727459,0.03761282130478054,0.0,0.0,0.0
MONTAIGNE_TUMOURRASMOINSBETE_T01_082,0.18870972450637888,0.794135713993202,0.304953609058028,0.5854506867888934,0.4066915107088742,0.47996713546952774,0.7946629431386238,0.4195093984192637,0.5491289198606273
MONTAIGNE_TUMOURRASMOINSBETE_T01_084,0.17673700310351484,0.5260319985856978,0.2645800220075804,0.016049679006419872,0.023645363740829133,0.019120800571837026,0.8631290027447392,0.20847697339344118,0.3358371008508063
MONTAIGNE_TUMOURRASMOINSBETE_T01_123,0.566624043516207,0.5774298301859474,0.5719759055892476,0.018395914120873925,0.024138002357953957,0.02087936664132039,0.6357868020304569,0.07253810991374852,0.13021925997437944
MONTAIGNE_TUMOURRASMOINSBETE_T01_125,0.4849624060150376,0.010399367976395853,0.020362098085331397,0.0,0.0,0.0,0.0,0.0,0.0
PIKE_BOYLOVEGIRLS_T41_005,0.9813612252318378,0.765650020679343,0.8601882147596233,0.6113102090838192,0.08728140874046894,0.152753095986006,0.431968616116746,0.6165546093725145,0.508014004643093
PIKE_BOYLOVEGIRLS_T41_012,0.9599347584422211,0.8986764975595747,0.92829611767047,0.30534101543561354,0.03850227692465178,0.06838187391736907,0.6638705618990264,0.703701228814222,0.683205859252603
PIKE_BOYLOVEGIRLS_T41_015,0.9318027399228368,0.8144222556210015,0.8691673652345617,0.7165102528291544,0.07180388725165109,0.13052720684046834,0.4914761992161774,0.5954487841056691,0.5384896101030975
ROUDIER_LESTERRESCREUSEES_012,0.9520552928337578,0.9840984549669297,0.9678117182429845,0.2524698166355531,0.42834528424622764,0.31769053074845804,0.33254917954095375,0.5600647743238992,0.4173116057278247
ROUDIER_LESTERRESCREUSEES_017,0.9702393512625558,0.9826209644525995,0.9763909066259473,0.5890783345882484,0.6067542244062507,0.5977856436994081,0.3925447415216773,0.6830261995337557,0.4985600348879141
ROUDIER_LESTERRESCREUSEES_022,0.9677594194299276,0.974099435381244,0.970919077579654,0.33320080724442375,0.4052368504472387,0.36570520012831753,0.31374274603478475,0.3783405078352912,0.34302690955363874
ROUDIER_LESTERRESCREUSEES_027,0.9519209028508582,0.9490095786186975,0.9504630113505718,0.42260955418850155,0.8981443861279783,0.5747692844702001,0.4975418452619023,0.7823744510800296,0.6082648204240588
SAINTOGAN_PROSPER_ET_LE_MONSTRE_MARIN_006,0.7147128998564237,0.15624262576014333,0.25642783552963055,0.0,0.0,0.0,0.0,0.0,0.0
SAINTOGAN_PROSPER_ET_LE_MONSTRE_MARIN_016,0.7506597113569388,0.6338092207493572,0.6873033199513501,0.0,0.0,0.0,0.0,0.0,0.0
SAINTOGAN_PROSPER_ET_LE_MONSTRE_MARIN_026,0.8934117266462106,0.2507704647828803,0.3916181804118396,0.0,0.0,0.0,6.493109458133783e-06,8.254979816574348e-06,7.2688043210618746e-06
SAINTOGAN_PROSPER_ET_LE_MONSTRE_MARIN_036,0.8604515072460921,0.4781664735232326,0.6147221519034932,0.0,0.0,0.0,0.08758375185214867,0.6332307567531315,0.15388348819983316
SAINTOGAN_PROSPER_ET_LE_MONSTRE_MARIN_046,0.6893413775265601,0.5187348632640372,0.5919914540815234,0.0,0.0,0.0,0.0,0.0,0.0
SAINTOGAN_ZIGPUCE_ET_ALFRED_005,0.9439217366217008,0.935166330457438,0.9395236361089103,0.2593478529975024,0.24679287577119527,0.2529146493389142,0.9860580446953511,0.2738279088016949,0.42862643493492886
SAINTOGAN_ZIGPUCE_ET_ALFRED_010,0.9319979142559555,0.8423673682586037,0.8849188360377594,0.4013248202372331,0.4121532105844225,0.40666694583238283,0.8055279730901386,0.8200244548120185,0.8127115750078165
SAINTOGAN_ZIGPUCE_ET_ALFRED_015,0.915421933274426,0.9868071473015274,0.94977509888375,0.38369042444396617,0.6544257958018961,0.48375491387436625,0.9275856512828683,0.8195267975821634,0.8702145059670856
SAINTOGAN_ZIGPUCE_ET_ALFRED_020,0.9365595593315396,0.9499529894228108,0.943208730572145,0.3806648968760434,0.5850960075704948,0.4612435859826971,0.9392223688925104,0.7655495204768619,0.8435395240976002
SAINTOGAN_ZIGPUCE_ET_ALFRED_025,0.8536849430132176,0.4200863991341426,0.5630860450995608,0.48445954978390104,0.43450227194267427,0.45812300373901965,0.9249024755165808,0.41124448342461534,0.5693401286687416
SAINTOGAN_ZIGPUCE_MILLIONAIRES_005,0.8976211737726747,0.8323173644528752,0.8637366855794746,0.14716376564604358,0.09413601543673869,0.11482323317841626,0.8033048568996313,0.8083138237366805,0.8058015562967009
SAINTOGAN_ZIGPUCE_MILLIONAIRES_010,0.9062540676444999,0.8619403349763965,0.8835419153927716,0.11946672953416898,0.24928896519594587,0.16152557265706016,0.9861395185085837,0.7665329845217578,0.8625781108225077
SAINTOGAN_ZIGPUCE_MILLIONAIRES_015,0.8967288289712402,0.9500520483223539,0.922620621892431,0.3942681023095705,0.09837324985115332,0.15745911043288036,0.9912895251184749,0.7679774137169416,0.8654604357530097
SAINTOGAN_ZIGPUCE_MILLIONAIRES_020,0.9586079011363418,0.9019094642808033,0.929394752921725,0.18283302670870044,0.053061468155137015,0.08225193072022167,0.9730908207194527,0.8379789339813809,0.9004949770675762
SAINTOGAN_ZIGPUCE_MILLIONAIRES_025,0.8934513011434386,0.9690974331989843,0.9297382094349186,0.3645090626700318,0.37490583711341796,0.36963435634244807,0.8990832137376263,0.7124507546314428,0.7949599905140033
TRONDHEIM_LES_TROIS_CHEMINS_003,0.5801174317473148,0.21027214007582837,0.3086643301414808,0.003455442844543152,0.0016750837690754407,0.0022563594967026914,0.2668792270697739,0.1846200751614196,0.21825620866812998
TRONDHEIM_LES_TROIS_CHEMINS_005,0.4143052616505704,0.047548962768118576,0.08530737370932855,0.0010207553589656345,0.0015749526829433081,0.0012386919986959624,0.0,0.0,0.0
WARE_ACME_032,0.8589058033486093,0.9716852681006262,0.9118214644620276,0.7345795808183199,0.6970154291162811,0.7153046751225115,0.2615009536036342,0.5437034242294746,0.3531500022297139
